seats,difS,tdate,fareI,dd_dow
73,3,0,3,4
70,0,1,3,4
70,0,2,4,4
70,0,3,4,4
70,0,4,4,4
70,0,5,1,4
70,2,6,1,4
68,1,7,4,4
67,0,8,4,4
67,0,9,4,4
67,0,10,1,4
67,0,11,1,4
67,3,12,1,4
64,0,13,1,4
64,3,14,1,4
61,5,15,1,4
56,2,16,1,4
54,2,17,1,4
52,0,18,3,4
52,0,19,4,4
52,0,20,1,4
52,2,21,1,4
50,5,22,1,4
45,0,23,4,4
45,4,24,1,4
41,0,25,4,4
42,0,26,4,4
42,1,27,4,4
31,1,29,4,4
30,2,30,4,4
28,0,31,4,4
28,1,32,4,4
27,0,33,4,4
27,0,34,4,4
27,0,35,4,4
27,2,36,3,4
25,0,37,4,4
25,0,38,4,4
25,1,39,4,4
24,0,40,4,4
24,1,41,0,4
23,2,42,0,4
21,4,43,0,4
17,1,44,3,4
16,3,45,4,4
13,1,46,5,4
12,0,47,5,4
12,0,48,5,4
12,0,49,5,4
13,0,50,5,4
13,0,51,5,4
13,0,52,5,4
13,1,53,5,4
12,0,54,5,4
14,0,55,5,4
14,2,56,5,4
12,0,57,6,4
12,0,58,6,4
12,0,59,6,4
73,3,0,1,4
70,2,1,1,4
68,0,2,1,4
68,1,3,1,4
67,0,4,1,4
67,0,5,1,4
67,0,6,1,4
67,2,7,1,4
65,1,8,1,4
64,0,9,1,4
64,5,10,1,4
59,0,11,1,4
59,7,12,1,4
52,0,13,1,4
52,3,14,1,4
49,0,15,1,4
49,3,16,1,4
46,1,17,1,4
45,0,18,1,4
45,0,19,1,4
45,2,20,1,4
43,2,21,1,4
41,3,22,1,4
38,2,23,1,4
36,2,24,1,4
34,3,25,1,4
31,0,26,1,4
31,0,27,1,4
31,0,28,1,4
31,2,29,1,4
29,3,30,1,4
26,1,31,1,4
25,4,32,1,4
21,0,33,1,4
21,0,34,1,4
22,5,35,2,4
17,2,36,2,4
15,0,37,2,4
15,1,38,0,4
14,2,39,2,4
12,2,40,0,4
10,0,41,3,4
10,0,42,0,4
10,0,43,0,4
10,3,44,2,4
7,0,45,3,4
7,1,46,4,4
6,1,47,4,4
5,0,48,4,4
5,1,49,4,4
4,2,50,4,4
2,1,51,4,4
1,1,52,4,4
1,0,55,5,4
2,0,56,5,4
4,4,57,6,4
6,1,59,6,4
68,0,0,1,3
68,2,1,1,3
66,3,2,1,3
63,6,3,1,3
57,0,4,3,3
57,0,5,3,3
57,0,6,3,3
57,0,7,3,3
57,0,8,3,3
57,3,9,3,3
54,2,10,1,3
52,0,11,1,3
52,1,12,3,3
51,1,13,1,3
50,0,14,1,3
50,3,15,1,3
47,4,16,1,3
43,1,17,3,3
42,1,18,3,3
41,3,19,3,3
38,0,20,3,3
38,0,21,3,3
38,5,22,3,3
33,0,23,3,3
33,4,24,4,3
29,0,25,4,3
29,0,26,4,3
29,1,27,4,3
28,0,28,4,3
28,0,29,4,3
28,4,30,3,3
24,2,31,4,3
22,1,32,4,3
21,0,33,4,3
21,0,34,4,3
21,0,35,4,3
21,0,36,4,3
21,1,37,4,3
20,6,38,0,3
14,3,39,4,3
11,0,40,4,3
14,4,41,4,3
10,1,42,4,3
9,1,43,4,3
8,0,44,4,3
9,3,45,4,3
6,2,46,5,3
4,2,47,5,3
2,0,48,5,3
2,0,49,5,3
2,1,50,4,3
1,1,51,4,3
1,0,53,5,3
1,0,54,5,3
1,0,55,5,3
2,2,56,5,3
4,4,58,6,3
72,0,0,1,3
72,1,1,1,3
71,4,2,1,3
67,2,3,1,3
65,1,4,1,3
64,0,5,1,3
64,0,6,1,3
64,0,7,1,3
64,1,8,1,3
63,2,9,1,3
61,0,10,1,3
61,0,11,1,3
61,2,12,1,3
59,1,13,1,3
58,0,14,1,3
58,2,15,1,3
56,0,16,1,3
56,1,17,1,3
55,1,18,1,3
54,4,19,1,3
50,6,20,1,3
44,2,21,1,3
42,0,22,3,3
42,3,23,3,3
39,1,24,3,3
38,0,25,3,3
38,1,26,3,3
37,0,27,1,3
37,0,28,1,3
37,0,29,1,3
37,3,30,1,3
34,4,31,1,3
30,2,32,3,3
28,0,33,3,3
30,0,34,3,3
30,0,35,3,3
30,6,36,1,3
24,5,37,3,3
19,0,38,3,3
20,1,39,3,3
19,0,40,3,3
19,0,41,3,3
19,0,42,3,3
19,1,43,3,3
18,0,44,3,3
18,0,45,3,3
18,1,46,4,3
17,0,47,4,3
17,0,48,4,3
